English Name,Website
Ho Chi Minh city University of Fine Arts,http://www.hcmufa.edu.vn/
Hoa Lu University,http://hluv.edu.vn/
Hoa Sen University,https://www.hoasen.edu.vn/
Hong Bang University International,https://hiu.vn/
Hong Duc University,https://hdu.edu.vn/
Hue Academy of Music,http://hocvienamnhachue.edu.vn/
Hue University,https://hueuni.edu.vn/
Hung Vuong University,https://www.hvu.edu.vn/
Hung Vuong University Ho Chi Minh City,https://dhv.edu.vn/
Hung Yen University of Technology and Education,http://utehy.edu.vn/
Industrial Machinery And Instruments Holding,http://imi-holding.vn/
Industrial University of Ho Chi Minh City,http://iuh.edu.vn/
Industrial University of Vinh,http://www.iuv.edu.vn/
Institute of Mathematics,http://math.ac.vn/vi/
Institute of Transport Science and Technology,http://itst.gov.vn/
Khanh Hoa University,http://ukh.edu.vn/
Kien Giang University,https://www.vnkgu.edu.vn/
Kinh Bac University,http://ukb.edu.vn/
Lac Hong University,https://lhu.edu.vn/
Long An University of Economics and Industry,https://daihoclongan.edu.vn/
Luong The Vinh University,http://ltvu.edu.vn/
Mien Dong University of Technology,https://mit.vn/
Mien Tay Construction University,http://www.mtu.edu.vn/
MienTrung University of Civil Engineering,http://muce.edu.vn/
Nam Can Tho University,https://nctu.edu.vn/
Nam Dinh University of Nursing,https://ndun.edu.vn/
Nam Dinh University of Technology Education,http://nute.edu.vn/
National Academy of Public Administration,https://www1.napa.vn/
National Center for Technology Progress,http://nacentech.vn/
National Economic University,https://www.neu.edu.vn/
National Institute of Animal Sciences,https://vcn.org.vn
National Institute of Drug Quality Control,https://nidqc.gov.vn/
National Institute of Education Management,http://naem.edu.vn/
National Institute of Hygiene and Epidemiology,https://nihe.org.vn/
National Institute of Medical Materials,http://vienduoclieu.org.vn/
National Institute of Nutrition,http://viendinhduong.vn/
National Institute of Occupational and Environmental Health,https://vnniosh.vn/
National Institute of Veterinary Research,http://vienthuy.gov.vn
National Instutte of Malariology Parasitology and Entomology,http://nimpe.vn/
National Research Institute Of Mechanical Engineering,http://narime.gov.vn
National University of Arts Education - NUAE,http://www.spnttw.edu.vn/
Nghe An College of Economics,http://dhktna.edu.vn/
Nguyen Tat Thanh University,https://ntt.edu.vn/
Nguyen Trai University,http://daihocnguyentrai.edu.vn/
Nha Trang University,http://www.ntu.edu.vn/
Pacific Ocean University,https://tbd.edu.vn/
Pasteur Institute in Ho Chi Minh City,http://www.pasteurhcm.gov.vn/
Peace University,http://daihochoabinh.edu.vn/
PetroVietnam University,https://www.pvu.edu.vn/
Pham Ngoc Thach University of Medicine,https://www.pnt.edu.vn/
Pham Van Dong University,http://pdu.edu.vn/
Phan Chau Trinh Universtiy,http://pctu.edu.vn/
Phenikaa University,https://phenikaa-uni.edu.vn/
Phu Xuan University,https://phuxuan.edu.vn/en/
Phu Yen University,https://pyu.edu.vn/
Phuong Dong University,http://phuongdong.edu.vn/
Posts and Telecommunications Institute of Technology,https://portal.ptit.edu.vn/
Quang Binh University,https://quangbinhuni.edu.vn/
Quang Nam University,http://qnamuni.edu.vn/
Quang Ninh University of Industry,https://qui.edu.vn/
Quang Trung University,https://qtu.edu.vn
Quy Nhon University,http://www.qnu.edu.vn/
Research Institute for Aquaculture No1,http://ria1.org
Research Institute for Marine Fisheries,http://rimf.org.vn/
Sai Gon University,https://sgu.edu.vn/
Saigon Technology University,https://www.stu.edu.vn/
SaoDo University,http://saodo.edu.vn/
Tan Tao University,https://ttu.edu.vn/
Tan Trao University,https://daihoctantrao.edu.vn/
Tay Bac Universty,https://utb.edu.vn/
Tay Do University,https://tdu.edu.vn/
Tay Nguyen University,https://www.ttn.edu.vn/
Thai Binh Medical University,http://tbump.edu.vn/
Thai Binh University,http://tbu.edu.vn/
Thai Nguyen University,http://tnu.edu.vn/
Thang Long University,https://thanglong.edu.vn/
Thanh Do University,https://www.thanhdo.edu.vn/
Thanh Dong University,https://thanhdong.edu.vn/
The American University of Vietnam,http://auv.edu.vn/
The Banking University of Ho Chi Minh City,https://portal-en.hub.edu.vn/
The Royal Melbourne Institute of Technology University in Vietnam,https://www.rmit.edu.vn/
The SaiGon International Univeristy,https://www.siu.edu.vn/
The University of Da Nang,http://www.udn.vn
